SHC will run under the following conditions:
******************************************
Rating category: TE-depth
Rating all puzzles in this file: examples/TE-input.txt
Output file: examples/TE-output.txt
WARNING: file  examples/TE-output.txt  already exists.
Puzzle 1  T&E-depth = 0  Time = 0s  Cumulated time = 0s
Puzzle 2  T&E-depth = 0  Time = 0s  Cumulated time = 0s
Puzzle 3  T&E-depth = 0  Time = 0s  Cumulated time = 0s
Puzzle 4  T&E-depth = 0  Time = 0s  Cumulated time = 0s
Puzzle 5  T&E-depth = 0  Time = 0s  Cumulated time = 0s
Puzzle 6  T&E-depth = 0  Time = 0s  Cumulated time = 0s
Puzzle 7  T&E-depth = 0  Time = 0s  Cumulated time = 0s
Puzzle 8  T&E-depth = 0  Time = 0s  Cumulated time = 0s
Puzzle 9  T&E-depth = 0  Time = 0s  Cumulated time = 0s
Puzzle 10  T&E-depth = 0  Time = 0s  Cumulated time = 0s
Puzzle 11  T&E-depth = 1  Time = 0s  Cumulated time = 0s
Puzzle 12  T&E-depth = 1  Time = 0s  Cumulated time = 0s
Puzzle 13  T&E-depth = 1  Time = 0s  Cumulated time = 0s
Puzzle 14  T&E-depth = 1  Time = 0s  Cumulated time = 0s
Puzzle 15  T&E-depth = 1  Time = 0s  Cumulated time = 0s
Puzzle 16  T&E-depth = 1  Time = 0s  Cumulated time = 0s
Puzzle 17  T&E-depth = 1  Time = 0s  Cumulated time = 0s
Puzzle 18  T&E-depth = 1  Time = 0s  Cumulated time = 0s
Puzzle 19  T&E-depth = 1  Time = 0s  Cumulated time = 0s
Puzzle 20  T&E-depth = 1  Time = 0s  Cumulated time = 0s
Puzzle 21  T&E-depth = 1  Time = 0s  Cumulated time = 0s
Puzzle 22  T&E-depth = 1  Time = 0s  Cumulated time = 0s
Puzzle 23  T&E-depth = 1  Time = 0s  Cumulated time = 0s
Puzzle 24  T&E-depth = 1  Time = 0s  Cumulated time = 0s
Puzzle 25  T&E-depth = 1  Time = 0s  Cumulated time = 0s
Puzzle 26  T&E-depth = 1  Time = 0s  Cumulated time = 0s
Puzzle 27  T&E-depth = 1  Time = 0s  Cumulated time = 0s
Puzzle 28  T&E-depth = 1  Time = 0s  Cumulated time = 0s
Puzzle 29  T&E-depth = 1  Time = 0s  Cumulated time = 0s
Puzzle 30  T&E-depth = 1  Time = 0s  Cumulated time = 0s
Puzzle 31  T&E-depth = 1  Time = 0s  Cumulated time = 0s
Puzzle 32  T&E-depth = 1  Time = 0s  Cumulated time = 0s
Puzzle 33  T&E-depth = 1  Time = 0s  Cumulated time = 0s
Puzzle 34  T&E-depth = 1  Time = 0s  Cumulated time = 0s
Puzzle 35  T&E-depth = 1  Time = 0s  Cumulated time = 0s
Puzzle 36  T&E-depth = 1  Time = 0s  Cumulated time = 0s
Puzzle 37  T&E-depth = 1  Time = 0s  Cumulated time = 0s
Puzzle 38  T&E-depth = 1  Time = 0s  Cumulated time = 0s
Puzzle 39  T&E-depth = 1  Time = 0s  Cumulated time = 0s
Puzzle 40  T&E-depth = 1  Time = 0s  Cumulated time = 0s
Puzzle 41  T&E-depth = 1  Time = 0s  Cumulated time = 0s
Puzzle 42  T&E-depth = 1  Time = 0s  Cumulated time = 0s
